grid_id,population,median_income,avg_age,household_size,employment_rate,education_index,urbanization_level,internet_penetration,smartphone_adoption
cell_2825,1900,1337237,28.9,3.19,0.821,0.891,0.974,0.947,0.895
cell_2826,1503,1455222,29.1,3.4,0.827,0.888,0.972,0.95,0.945
cell_2827,1576,1398989,29.1,3.36,0.806,0.901,0.981,0.921,0.931
cell_2828,1626,1310414,30.0,3.14,0.878,0.905,0.964,0.95,0.907
cell_2829,1719,1413020,30.7,3.32,0.818,0.868,0.975,0.923,0.908
cell_2830,2066,1304797,29.2,3.43,0.873,0.882,0.961,0.95,0.941
cell_2831,1637,1373860,29.6,3.4,0.834,0.906,0.981,0.931,0.928
cell_2832,2173,1317629,28.7,3.49,0.85,0.93,0.964,0.938,0.893
cell_2833,2167,1350354,29.1,3.15,0.847,0.891,0.988,0.935,0.913
cell_2834,1646,1329249,31.3,3.36,0.831,0.869,0.996,0.913,0.907
cell_2835,2084,1358834,29.1,3.43,0.815,0.868,0.968,0.924,0.95
cell_2836,1920,1472668,29.2,3.1,0.848,0.891,0.979,0.917,0.917
cell_2837,1593,1275043,29.5,3.24,0.824,0.933,0.997,0.95,0.95
cell_2838,1925,1335201,31.4,3.34,0.816,0.907,0.968,0.938,0.9
cell_2839,1439,1452791,29.4,3.14,0.805,0.895,0.999,0.923,0.891
cell_2840,1807,1294483,29.4,3.27,0.824,0.927,0.962,0.93,0.943
cell_2841,1718,1477916,30.6,3.21,0.836,0.872,0.966,0.934,0.926
cell_2842,1861,1308933,29.9,3.36,0.861,0.875,0.983,0.942,0.936
cell_2843,1534,1330036,31.2,3.33,0.879,0.855,0.978,0.944,0.927
cell_2844,2133,1395953,30.4,3.48,0.83,0.92,0.997,0.949,0.937
cell_2845,1568,1373356,29.1,3.28,0.871,0.853,0.962,0.95,0.908
cell_2846,1715,1238387,28.5,3.46,0.816,0.883,0.998,0.95,0.891
cell_2847,4820,1330789,34.9,3.48,0.764,0.907,1.0,0.95,0.898
cell_2848,4593,1190862,33.3,3.61,0.783,0.881,0.999,0.95,0.926
cell_2849,4633,1321301,32.7,3.45,0.809,0.885,1.0,0.933,0.9
cell_2850,4763,1181022,35.4,3.38,0.76,0.883,0.987,0.929,0.95
cell_2851,4345,1395361,33.6,3.36,0.772,0.886,1.0,0.944,0.931
cell_2852,5072,1333800,33.0,3.34,0.793,0.883,0.983,0.95,0.917
cell_2853,4510,1402552,34.9,3.31,0.791,0.916,1.0,0.95,0.929
cell_2854,4059,1394227,33.4,3.32,0.764,0.943,1.0,0.95,0.95
cell_2855,4923,1197343,32.8,3.53,0.779,0.915,1.0,0.95,0.895
cell_2856,4261,1201441,34.5,3.52,0.828,0.941,0.997,0.95,0.902
cell_2857,4684,1311404,33.9,3.36,0.814,0.889,1.0,0.95,0.921
cell_2858,3682,1379602,35.1,3.53,0.787,0.923,0.999,0.95,0.916
cell_2859,5160,1236474,35.1,3.49,0.764,0.872,1.0,0.95,0.95
cell_2860,4166,1176075,33.5,3.65,0.826,0.886,1.0,0.95,0.895
cell_2861,4964,1222687,35.4,3.39,0.757,0.879,1.0,0.95,0.95
cell_2862,4507,1358570,33.7,3.63,0.758,0.922,1.0,0.95,0.909
cell_2863,4520,1249990,32.7,3.35,0.817,0.933,0.995,0.95,0.899
cell_2864,5147,1366749,33.6,3.6,0.784,0.941,1.0,0.95,0.899
cell_2865,4667,1308154,34.7,3.68,0.813,0.884,1.0,0.931,0.939
cell_2866,4325,1369521,35.0,3.5,0.775,0.901,1.0,0.937,0.936
cell_2867,3707,1347409,33.3,3.7,0.79,0.912,0.981,0.95,0.906
cell_2868,4399,1258390,34.5,3.57,0.763,0.91,1.0,0.95,0.905
cell_2869,3927,1184209,33.6,3.52,0.756,0.919,1.0,0.95,0.95
cell_2870,3639,1365387,32.5,3.38,0.794,0.881,1.0,0.95,0.949
cell_2871,4434,1338596,33.5,3.57,0.76,0.929,1.0,0.925,0.9
cell_2872,4008,1226440,35.0,3.49,0.789,0.93,0.994,0.949,0.949
cell_2873,4103,1188810,33.0,3.44,0.774,0.925,1.0,0.936,0.935
cell_2874,4365,1310914,35.3,3.37,0.757,0.922,0.996,0.934,0.902
cell_2875,4290,1407341,33.7,3.38,0.8,0.887,1.0,0.95,0.927
cell_2876,1862,529622,27.8,4.41,0.649,0.626,0.924,0.713,0.655
cell_2877,1837,468369,25.9,4.37,0.693,0.647,0.92,0.731,0.696
cell_2878,2226,501726,27.0,4.43,0.651,0.644,0.944,0.715,0.703
cell_2879,1942,504569,27.5,4.58,0.651,0.617,0.948,0.684,0.678
cell_2880,1787,517634,27.7,4.72,0.663,0.644,0.945,0.738,0.706
cell_2881,1785,443272,27.9,4.68,0.687,0.626,0.935,0.7,0.677
cell_2882,2076,463947,27.2,4.42,0.681,0.644,0.946,0.687,0.665
cell_2883,1942,457247,27.0,4.58,0.64,0.627,0.942,0.711,0.655
cell_2884,1876,460537,27.9,4.6,0.668,0.667,0.926,0.695,0.689
cell_2885,1838,474679,26.7,4.39,0.684,0.65,0.928,0.704,0.673
cell_2886,1577,467284,26.5,4.53,0.688,0.633,0.947,0.729,0.706
cell_2887,2144,499651,26.0,4.62,0.677,0.64,0.937,0.707,0.681
cell_2888,1975,526908,27.9,4.65,0.637,0.666,0.922,0.732,0.664
cell_2889,2013,503747,26.8,4.6,0.673,0.626,0.935,0.693,0.691
cell_2890,1698,480305,26.5,4.51,0.68,0.67,0.942,0.722,0.679
cell_2891,1591,476191,27.9,4.44,0.667,0.625,0.922,0.685,0.686
cell_2892,1936,494595,27.8,4.64,0.688,0.64,0.925,0.735,0.656
cell_2893,1700,501168,25.7,4.62,0.674,0.639,0.927,0.711,0.662
cell_2894,1613,510531,27.2,4.49,0.675,0.644,0.923,0.687,0.702
cell_2895,2061,486472,27.7,4.55,0.64,0.665,0.923,0.689,0.658
cell_2896,2123,509616,28.1,4.42,0.674,0.648,0.948,0.699,0.705
cell_2897,1878,503023,27.9,4.25,0.642,0.612,0.933,0.716,0.702
cell_2898,1641,461534,25.7,4.65,0.691,0.672,0.927,0.683,0.666
cell_2899,2209,451151,26.0,4.61,0.681,0.624,0.942,0.689,0.703
cell_2900,1542,474273,26.2,4.51,0.683,0.639,0.936,0.702,0.654
cell_2901,2319,448195,26.9,4.57,0.649,0.645,0.931,0.693,0.66
cell_2902,1911,464916,27.6,4.63,0.655,0.664,0.937,0.701,0.676
cell_2903,1830,486939,27.4,4.52,0.677,0.643,0.919,0.705,0.682
cell_2904,2121,482806,28.3,4.29,0.65,0.63,0.92,0.717,0.655
cell_2905,692,642735,29.1,3.94,0.697,0.755,0.863,0.778,0.779
cell_2906,709,612381,27.2,3.75,0.719,0.739,0.895,0.794,0.781
cell_2907,891,619614,26.6,3.85,0.71,0.721,0.878,0.805,0.788
cell_2908,786,663554,27.5,3.64,0.704,0.78,0.868,0.779,0.758
cell_2909,980,610800,29.2,3.65,0.695,0.784,0.88,0.77,0.759
cell_2910,938,665132,28.2,3.97,0.721,0.758,0.889,0.785,0.734
cell_2911,800,581849,27.0,3.71,0.686,0.768,0.872,0.766,0.772
cell_2912,741,586966,29.2,3.75,0.752,0.733,0.87,0.772,0.735
cell_2913,1002,676359,29.0,3.96,0.732,0.774,0.87,0.783,0.769
cell_2914,914,662039,27.9,3.9,0.755,0.724,0.895,0.791,0.769
cell_2915,849,609918,28.1,3.58,0.72,0.734,0.895,0.764,0.758
cell_2916,992,644967,28.3,3.7,0.71,0.719,0.89,0.779,0.77
cell_2917,764,626820,28.8,3.67,0.713,0.722,0.865,0.797,0.741
cell_2918,801,624255,27.0,3.6,0.693,0.748,0.886,0.799,0.738
cell_2919,802,615628,28.8,3.72,0.695,0.778,0.87,0.777,0.773
cell_2920,911,580799,27.6,3.63,0.723,0.734,0.887,0.758,0.733
cell_2921,895,668466,29.4,3.76,0.687,0.735,0.886,0.767,0.748
cell_2922,709,583906,26.9,3.76,0.709,0.753,0.889,0.766,0.778
cell_2923,697,630841,29.3,3.83,0.695,0.751,0.876,0.789,0.742
cell_2924,716,650261,28.3,3.61,0.748,0.759,0.874,0.761,0.768
cell_2925,1959,1224417,28.6,3.48,0.879,0.848,0.988,0.929,0.935
cell_2926,1725,1279467,28.6,3.12,0.8,0.917,0.972,0.949,0.941
cell_2927,1760,1218125,30.2,3.15,0.862,0.868,0.987,0.95,0.929
cell_2928,1581,1448023,28.5,3.17,0.849,0.918,0.974,0.95,0.924
cell_2929,1671,1434754,31.5,3.11,0.853,0.882,0.961,0.95,0.892
cell_2930,1622,1312514,30.0,3.24,0.844,0.867,0.985,0.95,0.9
cell_2931,1884,1367449,29.6,3.36,0.8,0.878,0.981,0.914,0.921
cell_2932,2012,1245611,31.5,3.34,0.829,0.868,0.983,0.95,0.922
cell_2933,1790,1319801,29.4,3.38,0.828,0.862,0.975,0.95,0.938
cell_2934,1940,1235205,28.6,3.15,0.808,0.853,0.986,0.95,0.931
cell_2935,2026,1270938,30.4,3.33,0.877,0.866,0.963,0.95,0.938
cell_2936,1743,1231075,31.4,3.15,0.804,0.849,0.977,0.919,0.938
cell_2937,1830,1384769,28.6,3.26,0.823,0.866,0.986,0.922,0.947
cell_2938,1990,1467543,31.3,3.32,0.84,0.875,0.988,0.95,0.95
cell_2939,1591,1300344,30.9,3.14,0.836,0.884,0.963,0.943,0.921
cell_2940,1617,1473994,31.4,3.31,0.841,0.871,0.999,0.933,0.917
cell_2941,1514,1234289,30.7,3.32,0.846,0.871,0.992,0.912,0.908
cell_2942,2098,1278346,30.1,3.32,0.871,0.85,0.977,0.926,0.885
cell_2943,1883,1273009,31.3,3.18,0.876,0.904,0.965,0.95,0.907
cell_2944,1718,1329131,30.5,3.41,0.826,0.928,0.997,0.915,0.884
cell_2945,1816,1290034,29.3,3.37,0.849,0.86,0.995,0.95,0.91
cell_2946,1661,1341429,29.0,3.12,0.826,0.859,0.985,0.95,0.894
cell_2947,1735,1215555,29.5,3.3,0.867,0.92,0.989,0.931,0.936
cell_2948,1546,1362725,30.5,3.12,0.803,0.915,0.994,0.95,0.915
cell_2949,2083,1371490,29.5,3.18,0.833,0.871,0.974,0.95,0.896
cell_2950,1727,1344868,30.7,3.29,0.828,0.888,0.994,0.95,0.93
cell_2951,1646,1452698,31.4,3.33,0.861,0.891,0.972,0.95,0.927
cell_2952,1922,1446121,30.7,3.19,0.837,0.933,0.982,0.95,0.943
cell_2953,1787,1297166,30.4,3.27,0.865,0.913,0.973,0.95,0.92
cell_2954,1679,1456745,29.6,3.22,0.828,0.865,0.982,0.923,0.943
cell_2955,1731,1248757,31.4,3.28,0.867,0.914,0.988,0.95,0.891
cell_2956,1745,1427185,31.4,3.46,0.808,0.878,0.975,0.921,0.89
cell_2957,2009,1368615,30.4,3.29,0.854,0.931,0.983,0.917,0.919
cell_2958,1945,1375348,28.8,3.16,0.871,0.872,0.972,0.941,0.95
cell_2959,1775,1307221,31.0,3.49,0.827,0.857,0.966,0.95,0.894
cell_2960,1546,1311033,28.7,3.44,0.87,0.882,0.984,0.95,0.938
cell_2961,1815,1385452,30.6,3.24,0.826,0.87,0.982,0.939,0.923
cell_2962,1937,1234745,30.2,3.33,0.83,0.883,0.992,0.933,0.947
cell_2963,2060,1423672,30.3,3.31,0.879,0.871,0.966,0.934,0.928
cell_2964,4670,1257222,35.2,3.39,0.775,0.87,0.99,0.95,0.95
cell_2965,4564,1261494,32.5,3.5,0.756,0.945,1.0,0.95,0.94
cell_2966,4329,1362619,35.1,3.41,0.771,0.912,1.0,0.95,0.92
cell_2967,5409,1218797,35.1,3.4,0.778,0.883,1.0,0.95,0.932
cell_2968,3788,1296093,34.3,3.53,0.757,0.933,1.0,0.95,0.946
cell_2969,5159,1324627,34.8,3.4,0.797,0.941,0.992,0.95,0.939
cell_2970,4580,1254876,35.1,3.49,0.822,0.911,1.0,0.95,0.904
cell_2971,4240,1366750,34.3,3.68,0.819,0.871,0.985,0.95,0.931
cell_2972,3681,1296382,32.5,3.66,0.814,0.936,0.981,0.925,0.934
cell_2973,4796,1240160,32.8,3.57,0.802,0.874,0.999,0.95,0.93
cell_2974,5133,1327569,34.4,3.65,0.822,0.9,0.987,0.95,0.909
cell_2975,4253,1387845,34.3,3.62,0.782,0.955,0.989,0.942,0.897
cell_2976,4910,1324762,34.6,3.66,0.803,0.916,1.0,0.95,0.907
cell_2977,3558,1247758,34.0,3.55,0.826,0.895,1.0,0.95,0.909
cell_2978,5273,1183823,34.0,3.31,0.776,0.921,1.0,0.95,0.927
cell_2979,4649,1345020,33.9,3.67,0.813,0.947,0.989,0.95,0.948
cell_2980,4768,1154880,33.2,3.43,0.818,0.941,0.984,0.95,0.906
cell_2981,4031,1372245,34.8,3.44,0.804,0.881,0.995,0.95,0.911
cell_2982,5170,1223664,33.1,3.3,0.778,0.912,0.991,0.95,0.923
cell_2983,4868,1219277,33.7,3.45,0.77,0.884,0.992,0.95,0.95
cell_2984,4635,1281985,33.2,3.32,0.777,0.91,0.982,0.928,0.912
cell_2985,4217,1182179,33.1,3.4,0.756,0.894,0.983,0.95,0.922
cell_2986,3830,1209985,33.1,3.7,0.816,0.866,1.0,0.941,0.901
cell_2987,4200,1265598,34.4,3.52,0.828,0.936,1.0,0.949,0.893
cell_2988,5466,1255905,35.7,3.35,0.774,0.88,0.999,0.95,0.918
cell_2989,5005,1271149,35.0,3.33,0.812,0.887,0.991,0.95,0.95
cell_2990,4790,1350808,33.2,3.64,0.784,0.88,0.994,0.941,0.91
cell_2991,3857,1322932,34.3,3.56,0.778,0.935,0.985,0.95,0.913
cell_2992,4290,1354371,35.3,3.6,0.764,0.89,1.0,0.95,0.95
cell_2993,2102,531722,27.4,4.23,0.663,0.666,0.944,0.692,0.675
cell_2994,2101,524035,27.9,4.72,0.644,0.617,0.914,0.735,0.679
cell_2995,1610,475438,27.8,4.63,0.683,0.609,0.945,0.694,0.687
cell_2996,1487,441939,27.2,4.57,0.64,0.627,0.943,0.687,0.665
cell_2997,2057,465975,28.3,4.42,0.662,0.616,0.937,0.695,0.687
cell_2998,1714,524954,27.6,4.31,0.677,0.648,0.915,0.708,0.667
cell_2999,2042,456509,26.0,4.38,0.7,0.656,0.912,0.704,0.667
cell_3000,1939,535521,26.2,4.55,0.683,0.661,0.927,0.721,0.669
cell_3001,2093,534091,27.6,4.43,0.691,0.61,0.915,0.719,0.669
cell_3002,2065,483078,27.5,4.64,0.668,0.622,0.94,0.7,0.662
cell_3003,1719,536193,27.4,4.76,0.659,0.67,0.917,0.684,0.655
cell_3004,1648,491192,26.5,4.41,0.679,0.618,0.94,0.715,0.703
cell_3005,2105,497431,28.3,4.24,0.685,0.66,0.913,0.714,0.696
cell_3006,1676,508958,25.8,4.67,0.639,0.617,0.922,0.718,0.706
cell_3007,1541,477149,27.9,4.48,0.658,0.644,0.921,0.704,0.671
cell_3008,2298,515438,26.8,4.5,0.645,0.656,0.934,0.733,0.664
cell_3009,2130,467053,27.5,4.73,0.698,0.654,0.913,0.731,0.689
cell_3010,1643,452388,25.8,4.64,0.652,0.61,0.926,0.709,0.662
cell_3011,1534,507552,25.9,4.53,0.646,0.621,0.926,0.687,0.662
cell_3012,1738,514429,25.9,4.69,0.691,0.657,0.923,0.728,0.663
cell_3013,1493,533052,26.5,4.73,0.655,0.666,0.945,0.734,0.68
cell_3014,2346,472812,26.8,4.62,0.657,0.656,0.914,0.711,0.659
cell_3015,1675,523215,26.2,4.67,0.69,0.64,0.92,0.694,0.678
cell_3016,1692,534372,26.1,4.54,0.701,0.663,0.943,0.728,0.67
cell_3017,2353,489588,26.6,4.45,0.659,0.622,0.934,0.714,0.678
cell_3018,1869,458143,26.0,4.57,0.663,0.612,0.925,0.725,0.686
cell_3019,1668,502916,28.0,4.58,0.691,0.641,0.938,0.733,0.695
cell_3020,2044,529614,27.3,4.7,0.639,0.65,0.943,0.691,0.689
cell_3021,1918,480714,27.2,4.51,0.639,0.614,0.915,0.696,0.666
cell_3022,865,652733,26.8,3.79,0.707,0.776,0.887,0.813,0.732
cell_3023,853,660300,28.0,3.82,0.688,0.763,0.872,0.76,0.734
cell_3024,847,665641,29.3,4.0,0.747,0.78,0.873,0.768,0.768
cell_3025,702,642015,28.2,3.97,0.728,0.756,0.878,0.788,0.788
cell_3026,719,639323,27.8,3.7,0.705,0.73,0.875,0.813,0.76
cell_3027,724,571123,29.1,3.76,0.755,0.739,0.892,0.775,0.734
cell_3028,733,596635,27.8,3.95,0.702,0.736,0.892,0.79,0.78
cell_3029,752,578725,29.2,3.98,0.755,0.743,0.891,0.785,0.757
cell_3030,780,585319,27.5,3.93,0.711,0.739,0.898,0.783,0.745
cell_3031,898,566631,28.3,3.59,0.722,0.732,0.873,0.788,0.786
cell_3032,951,639836,26.6,3.69,0.749,0.761,0.897,0.768,0.748
cell_3033,733,589247,27.8,3.86,0.706,0.718,0.887,0.787,0.763
cell_3034,884,627284,29.2,3.8,0.705,0.739,0.881,0.792,0.771
cell_3035,783,654545,28.5,3.79,0.755,0.743,0.866,0.81,0.743
cell_3036,760,560093,27.0,3.74,0.692,0.727,0.889,0.807,0.779
cell_3037,845,665576,28.1,3.79,0.736,0.729,0.89,0.786,0.737
cell_3038,654,668431,29.4,3.73,0.705,0.729,0.891,0.772,0.786
cell_3039,931,626697,28.5,3.85,0.744,0.775,0.883,0.798,0.786
cell_3040,926,558962,26.9,3.96,0.69,0.729,0.871,0.796,0.765
cell_3041,693,652802,29.2,3.6,0.694,0.761,0.891,0.808,0.773
cell_3042,1801,1243969,30.3,3.43,0.847,0.931,0.992,0.95,0.888
cell_3043,1770,1268524,28.6,3.46,0.873,0.865,0.991,0.916,0.904
cell_3044,2000,1217808,29.5,3.19,0.882,0.905,0.976,0.918,0.927
cell_3045,2038,1292916,31.4,3.28,0.823,0.877,0.981,0.95,0.937
cell_3046,1648,1255325,30.0,3.39,0.861,0.866,0.964,0.941,0.95
cell_3047,1721,1302382,28.9,3.29,0.864,0.932,0.98,0.925,0.933
cell_3048,1665,1444538,31.0,3.29,0.845,0.909,0.987,0.913,0.892
cell_3049,1781,1333823,30.1,3.41,0.827,0.912,0.978,0.941,0.908
cell_3050,2164,1220453,31.4,3.41,0.811,0.852,0.972,0.95,0.929
cell_3051,1675,1272210,28.7,3.31,0.827,0.894,0.998,0.923,0.883
cell_3052,1599,1405872,30.2,3.3,0.828,0.873,0.975,0.95,0.896
cell_3053,1961,1287672,30.0,3.48,0.8,0.863,0.978,0.95,0.899
cell_3054,2071,1451907,29.5,3.43,0.83,0.868,0.996,0.919,0.95
cell_3055,2045,1360691,30.8,3.1,0.84,0.911,0.991,0.924,0.914
cell_3056,1555,1334622,30.9,3.22,0.834,0.931,0.962,0.95,0.938
cell_3057,2037,1411142,28.7,3.31,0.864,0.854,0.961,0.95,0.936
cell_3058,1995,1421981,31.4,3.47,0.838,0.913,0.987,0.95,0.941
cell_3059,1518,1286748,31.0,3.42,0.84,0.897,0.993,0.936,0.887
cell_3060,2015,1428426,29.6,3.13,0.852,0.92,0.986,0.944,0.892
cell_3061,1845,1275557,30.9,3.49,0.853,0.901,0.973,0.914,0.897
cell_3062,1644,1453636,29.1,3.31,0.841,0.899,0.973,0.95,0.916
cell_3063,1963,1246632,30.4,3.32,0.873,0.924,0.966,0.918,0.905
cell_3064,1722,1396681,30.3,3.36,0.816,0.866,0.977,0.919,0.889
cell_3065,1658,1322390,29.4,3.23,0.815,0.882,0.968,0.95,0.892
cell_3066,1748,1469734,31.0,3.37,0.875,0.858,0.967,0.931,0.901
cell_3067,1757,1222607,29.6,3.2,0.849,0.933,0.981,0.944,0.91
cell_3068,1676,1474138,29.8,3.23,0.88,0.929,0.986,0.913,0.938
cell_3069,1671,1257860,30.1,3.4,0.821,0.929,0.968,0.917,0.931
cell_3070,2216,1422136,29.1,3.49,0.875,0.86,0.982,0.95,0.916
cell_3071,1744,1384346,29.1,3.31,0.863,0.867,0.976,0.95,0.939
cell_3072,1679,1329832,30.8,3.43,0.819,0.904,0.964,0.914,0.924
cell_3073,1469,1412054,30.0,3.42,0.854,0.91,0.972,0.932,0.927
cell_3074,1828,1356188,29.2,3.35,0.877,0.853,0.965,0.95,0.891
cell_3075,1528,1341011,30.2,3.3,0.875,0.914,0.999,0.948,0.889
cell_3076,1700,1424546,28.6,3.4,0.877,0.88,0.97,0.929,0.919
cell_3077,1744,1314455,29.5,3.28,0.844,0.858,0.988,0.95,0.904
cell_3078,1792,1264556,28.6,3.35,0.818,0.861,0.999,0.934,0.95
cell_3079,1820,1350545,28.7,3.39,0.873,0.86,0.989,0.946,0.939
cell_3080,1624,1263255,29.9,3.47,0.827,0.901,0.961,0.95,0.928
cell_3081,5307,1189504,33.2,3.71,0.763,0.93,1.0,0.95,0.91
cell_3082,4402,1199680,34.5,3.5,0.781,0.892,1.0,0.95,0.935
cell_3083,5215,1397210,32.7,3.65,0.777,0.938,1.0,0.942,0.923
cell_3084,4173,1345417,32.7,3.67,0.772,0.917,0.985,0.942,0.923
cell_3085,3813,1379496,32.3,3.61,0.788,0.912,0.988,0.95,0.933
cell_3086,3812,1169127,32.5,3.3,0.768,0.926,0.993,0.948,0.903
cell_3087,4365,1325137,34.8,3.54,0.772,0.911,0.99,0.95,0.95
cell_3088,5120,1291969,33.4,3.33,0.793,0.943,1.0,0.95,0.922
cell_3089,5029,1257376,33.9,3.58,0.82,0.936,0.981,0.931,0.95
cell_3090,4698,1301575,35.4,3.67,0.812,0.884,1.0,0.929,0.95
cell_3091,4322,1308222,34.9,3.52,0.755,0.929,0.995,0.946,0.95
cell_3092,4888,1286739,34.9,3.61,0.802,0.955,0.998,0.95,0.95
cell_3093,4310,1400107,32.4,3.43,0.789,0.865,1.0,0.944,0.912
cell_3094,4523,1320351,35.1,3.62,0.812,0.873,0.983,0.945,0.895
cell_3095,4358,1294599,33.3,3.49,0.777,0.882,1.0,0.95,0.95
cell_3096,5206,1328000,32.5,3.34,0.815,0.886,0.994,0.933,0.907
cell_3097,4455,1266953,32.8,3.57,0.808,0.897,1.0,0.94,0.944
cell_3098,5416,1211474,32.6,3.4,0.76,0.88,0.993,0.95,0.95
cell_3099,4762,1359399,35.3,3.68,0.81,0.936,0.998,0.95,0.95
cell_3100,3768,1347265,34.2,3.63,0.756,0.921,0.99,0.95,0.901
cell_3101,4269,1158425,33.1,3.43,0.8,0.876,0.997,0.937,0.95
cell_3102,3835,1313632,35.4,3.65,0.821,0.87,1.0,0.95,0.95
cell_3103,4827,1255076,34.5,3.47,0.784,0.914,0.994,0.95,0.94
cell_3104,4325,1400211,34.5,3.37,0.81,0.88,0.983,0.95,0.934
cell_3105,3975,1394117,33.3,3.36,0.829,0.892,1.0,0.939,0.934
cell_3106,4983,1262798,34.3,3.69,0.829,0.874,1.0,0.95,0.937
cell_3107,4236,1192668,34.2,3.52,0.765,0.914,1.0,0.95,0.929
cell_3108,5061,1186572,34.2,3.37,0.811,0.953,0.994,0.95,0.924
cell_3109,4645,1310138,32.5,3.64,0.765,0.954,0.995,0.95,0.899
cell_3110,1995,487766,28.1,4.54,0.699,0.671,0.928,0.714,0.698
cell_3111,1965,499008,27.6,4.27,0.688,0.628,0.941,0.711,0.668
cell_3112,2274,537597,26.6,4.58,0.677,0.652,0.913,0.698,0.702
cell_3113,2123,461923,28.3,4.61,0.689,0.633,0.945,0.713,0.69
cell_3114,1783,527150,26.1,4.63,0.638,0.667,0.948,0.702,0.659
cell_3115,1694,488284,26.4,4.49,0.638,0.611,0.912,0.717,0.683
cell_3116,1857,527652,26.4,4.68,0.681,0.61,0.925,0.71,0.693
cell_3117,2064,508085,26.7,4.28,0.649,0.639,0.93,0.725,0.692
cell_3118,1814,443021,26.7,4.64,0.663,0.661,0.948,0.716,0.661
cell_3119,1574,500067,27.9,4.57,0.689,0.659,0.943,0.697,0.7
cell_3120,1846,537755,28.2,4.54,0.693,0.625,0.927,0.692,0.681
cell_3121,1735,506935,26.0,4.26,0.662,0.634,0.923,0.696,0.671
cell_3122,1696,529651,26.3,4.6,0.646,0.631,0.923,0.735,0.676
cell_3123,2048,454821,28.2,4.42,0.639,0.627,0.924,0.687,0.687
cell_3124,1901,441661,28.3,4.32,0.681,0.654,0.918,0.688,0.661
cell_3125,1607,507052,26.8,4.52,0.64,0.663,0.918,0.702,0.657
cell_3126,1821,508874,27.5,4.53,0.7,0.64,0.928,0.696,0.658
cell_3127,1815,492354,26.2,4.68,0.703,0.629,0.943,0.731,0.707
cell_3128,1969,463423,27.3,4.61,0.686,0.621,0.943,0.706,0.665
cell_3129,2129,535775,27.7,4.23,0.646,0.613,0.915,0.703,0.671
cell_3130,1922,501312,27.8,4.43,0.664,0.628,0.928,0.716,0.68
cell_3131,2301,487029,26.3,4.74,0.686,0.649,0.939,0.686,0.656
cell_3132,1558,482226,26.1,4.69,0.675,0.632,0.914,0.715,0.659
cell_3133,2194,494310,26.1,4.65,0.657,0.622,0.929,0.734,0.669
cell_3134,1806,449185,27.5,4.33,0.658,0.617,0.924,0.698,0.693
cell_3135,2264,511993,27.5,4.6,0.696,0.627,0.923,0.724,0.665
cell_3136,2110,470412,27.7,4.4,0.701,0.671,0.936,0.688,0.667
cell_3137,2108,459119,25.9,4.27,0.67,0.665,0.913,0.694,0.691
cell_3138,2238,517937,26.0,4.44,0.702,0.671,0.934,0.722,0.705
cell_3139,704,640950,29.3,3.89,0.742,0.744,0.866,0.769,0.789
cell_3140,682,676466,28.0,3.95,0.723,0.72,0.884,0.821,0.732
cell_3141,797,606839,27.6,3.98,0.72,0.746,0.891,0.761,0.735
cell_3142,748,623176,29.1,3.8,0.7,0.773,0.873,0.818,0.745
cell_3143,735,564264,26.7,3.8,0.699,0.713,0.873,0.789,0.754
cell_3144,747,646081,28.5,3.75,0.694,0.75,0.894,0.788,0.741
cell_3145,818,650133,27.5,3.71,0.748,0.726,0.881,0.803,0.754
cell_3146,654,669824,28.1,3.94,0.724,0.783,0.894,0.789,0.749
cell_3147,863,619796,28.9,3.66,0.708,0.764,0.871,0.786,0.788
cell_3148,935,647583,28.6,3.84,0.694,0.751,0.871,0.822,0.746
cell_3149,776,621358,26.7,3.63,0.742,0.749,0.868,0.788,0.745
cell_3150,849,602891,26.7,4.01,0.741,0.732,0.877,0.813,0.751
cell_3151,821,607761,28.4,3.79,0.686,0.774,0.866,0.788,0.765
cell_3152,817,649208,27.0,3.87,0.743,0.779,0.883,0.778,0.74
cell_3153,780,582345,29.3,3.98,0.686,0.755,0.89,0.774,0.761
cell_3154,711,634227,29.4,3.74,0.724,0.737,0.893,0.813,0.74
cell_3155,785,569835,28.4,3.75,0.722,0.761,0.864,0.777,0.758
cell_3156,653,568748,28.8,3.99,0.695,0.731,0.885,0.819,0.748
cell_3157,870,676613,27.0,4.02,0.716,0.784,0.879,0.792,0.779
cell_3158,873,609706,28.8,4.0,0.685,0.757,0.893,0.8,0.778
cell_3159,2119,1408595,31.4,3.44,0.866,0.853,0.97,0.95,0.935
cell_3160,1506,1298997,30.8,3.45,0.875,0.879,0.975,0.943,0.911
cell_3161,1792,1220493,29.8,3.19,0.8,0.887,0.968,0.946,0.904
cell_3162,2116,1362753,30.4,3.47,0.829,0.86,0.971,0.943,0.931
cell_3163,1754,1235545,31.2,3.48,0.881,0.918,0.966,0.95,0.898
cell_3164,1863,1303235,31.3,3.11,0.814,0.883,0.988,0.95,0.932
cell_3165,1741,1355984,30.7,3.35,0.836,0.847,0.963,0.921,0.908
cell_3166,1599,1263233,30.8,3.45,0.831,0.891,0.998,0.95,0.95
cell_3167,1824,1349245,28.6,3.49,0.879,0.88,0.998,0.923,0.933
cell_3168,1540,1425421,29.6,3.1,0.833,0.866,0.987,0.927,0.945
cell_3169,1645,1295470,30.4,3.14,0.838,0.875,0.995,0.918,0.944
