grid_id,latitude,longitude,zone_name,total_orders,avg_delivery_time_min,avg_order_value,active_restaurants,active_customers,population_density,competitor_count,road_density_km,is_profitable
cell_1183,28.447297,76.869295,Greater Noida,93,51,367,6,400,3329,2,2.23,0
cell_1184,28.447297,76.874428,Greater Noida,83,44,290,6,487,3359,2,2.11,0
cell_1185,28.447297,76.879561,Greater Noida,78,49,364,6,442,3153,2,2.22,0
cell_1186,28.447297,76.884694,Greater Noida,86,47,328,7,380,3551,2,2.06,0
cell_1187,28.447297,76.889827,Greater Noida,81,47,327,5,490,3505,2,1.88,0
cell_1188,28.447297,76.89496,Greater Noida,98,47,294,5,416,2937,2,1.82,0
cell_1189,28.447297,76.900093,Greater Noida,77,53,336,7,441,3199,2,1.76,0
cell_1190,28.447297,76.905226,Greater Noida,104,45,347,6,448,3107,2,2.07,0
cell_1191,28.447297,76.910359,Greater Noida,96,46,274,7,380,3077,2,1.84,0
cell_1192,28.447297,76.915492,Greater Noida,105,48,294,5,442,2882,2,1.8,0
cell_1193,28.447297,76.920625,Greater Noida,73,46,287,6,399,3190,2,2.14,0
cell_1194,28.447297,76.925757,Greater Noida,74,52,328,5,433,3383,2,1.91,0
cell_1195,28.447297,76.93089,Greater Noida,97,49,289,6,461,3376,2,2.2,0
cell_1196,28.447297,76.936023,Greater Noida,93,48,310,5,351,2999,2,1.95,0
cell_1197,28.447297,76.941156,Greater Noida,75,52,283,6,397,3548,2,2.17,0
cell_1198,28.447297,76.946289,Greater Noida,93,49,326,5,454,3334,2,2.02,0
cell_1199,28.447297,76.951422,Greater Noida,76,51,302,7,344,3179,2,2.01,0
cell_1200,28.447297,76.956555,Greater Noida,90,53,368,6,450,2940,2,2.12,0
cell_1201,28.447297,76.961688,Greater Noida,79,52,344,7,387,3183,2,1.79,0
cell_1202,28.447297,76.966821,Greater Noida,107,45,341,7,385,3267,2,2.15,0
cell_1203,28.447297,76.971954,Greater Noida,72,50,356,7,470,3120,2,1.83,0
cell_1204,28.447297,76.977087,Greater Noida,80,48,349,6,393,3167,2,1.99,0
cell_1205,28.447297,76.98222,Greater Noida,103,50,320,5,439,3345,2,2.02,0
cell_1206,28.447297,76.987353,Greater Noida,87,49,351,7,480,3208,2,1.91,0
cell_1207,28.447297,76.992486,Greater Noida,75,52,296,5,395,3555,2,1.96,0
cell_1208,28.447297,76.997619,Greater Noida,84,48,296,7,372,2956,2,2.23,0
cell_1209,28.447297,77.002752,Greater Noida,100,49,303,6,450,3582,2,2.07,0
cell_1210,28.447297,77.007885,Greater Noida,83,48,309,7,384,2969,2,1.92,0
cell_1211,28.447297,77.013018,Greater Noida,102,45,347,6,474,2946,2,2.11,0
cell_1212,28.447297,77.018151,Greater Noida,86,50,328,7,460,3448,2,2.22,0
cell_1213,28.447297,77.023284,Greater Noida,72,48,351,5,357,2839,2,1.85,0
cell_1214,28.447297,77.028417,Greater Noida,77,46,305,6,416,2934,2,2.22,0
cell_1215,28.447297,77.03355,Greater Noida,102,44,344,5,477,3563,2,1.96,0
cell_1216,28.447297,77.038683,Greater Noida,83,46,337,6,468,3352,2,2.03,0
cell_1217,28.447297,77.043816,Greater Noida,101,51,273,7,466,3255,2,2.07,0
cell_1218,28.447297,77.048949,Greater Noida,77,47,296,6,464,3411,2,1.89,0
cell_1219,28.447297,77.054081,Greater Noida,77,47,328,6,500,2947,2,1.8,0
cell_1220,28.447297,77.059214,Greater Noida,107,47,330,6,376,3152,2,2.17,0
cell_1221,28.447297,77.064347,Greater Noida,86,51,283,5,500,2856,2,2.18,0
cell_1222,28.447297,77.06948,Greater Noida,104,44,281,6,459,3577,2,2.11,0
cell_1223,28.447297,77.074613,Greater Noida,108,46,347,6,416,3188,2,2.19,0
cell_1224,28.447297,77.079746,Greater Noida,84,53,335,5,480,3352,2,2.16,0
cell_1225,28.447297,77.084879,Greater Noida,80,44,281,7,418,3188,2,2.18,0
cell_1226,28.447297,77.090012,Greater Noida,89,46,355,6,481,3036,2,1.89,0
cell_1227,28.447297,77.095145,Greater Noida,75,52,314,6,406,3063,2,2.1,0
cell_1228,28.447297,77.100278,Greater Noida,76,44,316,5,347,3400,2,1.96,0
cell_1229,28.447297,77.105411,Greater Noida,102,49,294,5,397,3317,2,2.11,0
cell_1230,28.447297,77.110544,Greater Noida,95,47,314,6,419,2929,2,1.92,0
cell_1231,28.447297,77.115677,Greater Noida,103,51,273,6,381,2828,2,1.97,0
cell_1232,28.447297,77.12081,Greater Noida,83,50,301,6,441,3378,2,2.23,0
cell_1233,28.447297,77.125943,Greater Noida,82,50,281,7,382,3079,2,1.77,0
cell_1234,28.447297,77.131076,Greater Noida,75,51,347,7,361,2983,2,1.82,0
cell_1235,28.447297,77.136209,Greater Noida,75,48,279,6,412,3021,2,1.9,0
cell_1236,28.447297,77.141342,Greater Noida,107,49,286,6,479,2843,2,1.78,0
cell_1237,28.447297,77.146475,Greater Noida,98,44,347,7,403,3188,2,2.16,0
cell_1238,28.447297,77.151608,Greater Noida,102,44,287,7,426,2965,2,2.08,0
cell_1239,28.447297,77.156741,Greater Noida,99,49,355,6,487,3335,2,1.8,0
cell_1240,28.447297,77.161874,Greater Noida,82,52,275,6,355,3452,2,1.8,0
cell_1241,28.447297,77.167007,Greater Noida,73,52,299,6,433,3053,2,2.18,0
cell_1242,28.447297,77.17214,Greater Noida,99,43,357,6,444,3003,2,2.15,0
cell_1243,28.447297,77.177272,Greater Noida,84,52,339,6,358,3240,2,2.1,0
cell_1244,28.447297,77.182405,Greater Noida,78,45,364,6,424,3426,2,1.79,0
cell_1245,28.447297,77.187538,Greater Noida,98,50,282,7,391,2917,2,1.9,0
cell_1246,28.447297,77.192671,Greater Noida,82,48,328,7,363,3315,2,1.87,0
cell_1247,28.447297,77.197804,Greater Noida,101,46,317,6,458,3560,2,1.87,0
cell_1248,28.447297,77.202937,Greater Noida,89,44,361,5,413,3328,2,1.98,0
cell_1249,28.447297,77.20807,Greater Noida,80,49,327,7,403,3321,2,1.77,0
cell_1250,28.447297,77.213203,Greater Noida,90,52,274,6,433,2830,2,2.2,0
cell_1251,28.447297,77.218336,Greater Noida,80,48,327,6,458,3555,2,2.14,0
cell_1252,28.447297,77.223469,Greater Noida,97,47,283,5,426,3448,2,2.15,0
cell_1253,28.447297,77.228602,Greater Noida,94,51,292,7,442,3522,2,1.98,0
cell_1254,28.447297,77.233735,Greater Noida,108,48,366,5,489,3074,2,1.78,0
cell_1255,28.447297,77.238868,Greater Noida,99,50,353,7,456,3027,2,2.23,0
cell_1256,28.447297,77.244001,Greater Noida,105,44,278,5,391,3288,2,1.94,0
cell_1257,28.447297,77.249134,Greater Noida,75,52,332,7,501,3475,2,2.15,0
cell_1258,28.447297,77.254267,Greater Noida,91,44,279,6,471,3010,2,2.06,0
cell_1259,28.447297,77.2594,Greater Noida,101,45,325,6,430,3357,2,1.79,0
cell_1260,28.447297,77.264533,Greater Noida,98,50,344,6,463,2835,2,1.94,0
cell_1261,28.447297,77.269666,Greater Noida,87,49,288,6,483,3276,2,2.2,0
cell_1262,28.447297,77.274799,Greater Noida,96,44,288,5,371,3316,2,1.79,0
cell_1263,28.447297,77.279932,Greater Noida,90,47,283,5,400,3376,2,1.78,0
cell_1264,28.447297,77.285065,Greater Noida,74,46,281,5,402,3235,2,2.2,0
cell_1265,28.447297,77.290198,Greater Noida,87,52,363,7,366,3314,2,2.01,0
cell_1266,28.447297,77.295331,Greater Noida,76,44,320,6,377,3289,2,2.05,0
cell_1267,28.447297,77.300463,Greater Noida,99,52,302,6,488,3092,2,1.91,0
cell_1268,28.447297,77.305596,Greater Noida,94,51,297,5,472,3564,2,2.07,0
cell_1269,28.447297,77.310729,Greater Noida,99,47,309,5,490,3582,2,2.02,0
cell_1270,28.447297,77.315862,Greater Noida,96,51,280,6,502,3341,2,2.18,0
cell_1271,28.447297,77.320995,Greater Noida,86,44,359,6,387,3531,2,1.85,0
cell_1272,28.447297,77.326128,Greater Noida,87,52,361,6,430,2884,2,2.12,0
cell_1273,28.447297,77.331261,Greater Noida,105,47,368,6,432,3451,2,2.23,0
cell_1274,28.447297,77.336394,Greater Noida,86,48,314,6,400,3218,2,1.79,0
cell_1275,28.447297,77.341527,Greater Noida,94,46,332,6,459,3291,2,2.04,0
cell_1276,28.447297,77.34666,Greater Noida,76,52,317,7,378,2925,2,1.93,0
cell_1277,28.447297,77.351793,Greater Noida,79,49,342,6,393,3348,2,2.2,0
cell_1278,28.447297,77.356926,Greater Noida,93,45,342,6,458,3412,2,2.0,0
cell_1279,28.447297,77.362059,Greater Noida,101,46,343,5,395,3099,2,1.79,0
cell_1280,28.447297,77.367192,Greater Noida,88,47,336,5,473,3329,2,1.81,0
cell_1281,28.447297,77.372325,Greater Noida,90,52,357,6,503,2816,2,2.08,0
cell_1282,28.447297,77.377458,Greater Noida,80,49,324,7,481,3467,2,2.19,0
cell_1283,28.447297,77.382591,Greater Noida,85,48,308,6,350,2833,2,2.07,0
cell_1284,28.447297,77.387724,Greater Noida,83,44,278,7,383,3469,2,2.0,0
cell_1285,28.447297,77.392857,Greater Noida,106,50,356,7,417,2832,2,1.85,0
cell_1286,28.447297,77.39799,Greater Noida,107,51,356,6,420,2987,2,2.08,0
cell_1287,28.451802,76.802566,Gurugram,328,39,699,24,1365,6853,8,3.85,0
cell_1288,28.451802,76.807699,Gurugram,384,33,531,27,1239,6546,7,4.35,0
cell_1289,28.451802,76.812832,Gurugram,343,38,644,29,1207,7111,7,4.19,0
cell_1290,28.451802,76.817965,Gurugram,358,38,701,23,1185,7757,6,4.27,0
cell_1291,28.451802,76.823098,Gurugram,293,39,543,31,1277,7624,7,3.53,0
cell_1292,28.451802,76.828231,Gurugram,294,39,602,31,1421,7888,7,3.54,0
cell_1293,28.451802,76.833364,Gurugram,370,36,656,26,1360,6412,7,3.6,0
cell_1294,28.451802,76.838497,Gurugram,299,36,577,26,1408,7182,6,3.95,0
cell_1295,28.451802,76.84363,Gurugram,385,38,595,24,1433,6381,6,4.17,0
cell_1296,28.451802,76.848763,Gurugram,403,35,577,27,1464,6875,6,3.95,0
cell_1297,28.451802,76.853896,Gurugram,280,38,625,23,1410,7466,7,3.68,0
cell_1298,28.451802,76.859029,Gurugram,376,37,537,23,1404,7220,6,4.05,0
cell_1299,28.451802,76.864162,Gurugram,319,35,702,25,1568,7739,6,4.24,0
cell_1300,28.451802,76.869295,Gurugram,309,36,653,25,1600,7346,7,4.35,0
cell_1301,28.451802,76.874428,Gurugram,342,38,551,28,1500,6407,6,3.9,0
cell_1302,28.451802,76.879561,Gurugram,298,34,617,26,1560,7082,8,3.94,0
cell_1303,28.451802,76.884694,Gurugram,291,34,548,24,1142,7116,8,3.78,0
cell_1304,28.451802,76.889827,Gurugram,304,34,703,23,1126,6732,8,3.68,0
cell_1305,28.451802,76.89496,Gurugram,395,36,571,31,1237,7569,6,3.48,0
cell_1306,28.451802,76.900093,Gurugram,290,35,618,29,1676,6537,6,4.3,0
cell_1307,28.451802,76.905226,Gurugram,393,33,541,26,1399,7871,8,3.8,0
cell_1308,28.451802,76.910359,Gurugram,291,35,605,31,1212,7635,7,4.01,0
cell_1309,28.451802,76.915492,Gurugram,303,36,671,32,1639,7847,7,3.97,0
cell_1310,28.451802,76.920625,Gurugram,364,39,607,32,1361,7610,7,4.22,0
cell_1311,28.451802,76.925757,Gurugram,393,36,529,27,1576,6431,8,3.88,0
cell_1312,28.451802,76.93089,Gurugram,371,34,687,26,1287,7625,6,4.01,1
cell_1313,28.451802,76.936023,Gurugram,404,38,561,28,1552,7644,7,3.44,0
cell_1314,28.451802,76.941156,Gurugram,351,37,552,30,1661,7097,8,4.32,0
cell_1315,28.451802,76.946289,Gurugram,313,37,565,24,1289,6501,7,4.37,0
cell_1316,28.451802,76.951422,Gurugram,318,35,543,28,1643,6950,6,3.46,0
cell_1317,28.451802,76.956555,Gurugram,374,33,530,29,1481,7805,7,3.48,0
cell_1318,28.451802,76.961688,Gurugram,385,34,588,27,1546,7829,6,3.93,0
cell_1319,28.451802,76.966821,Gurugram,350,37,706,28,1660,7296,7,3.75,0
cell_1320,28.451802,76.971954,Gurugram,276,38,547,23,1174,6458,8,3.6,0
cell_1321,28.451802,76.977087,Gurugram,289,35,596,29,1169,7697,7,4.19,0
cell_1322,28.451802,76.98222,Gurugram,374,37,670,33,1607,6630,7,3.67,0
cell_1323,28.451802,76.987353,Gurugram,316,38,538,24,1181,7697,7,4.23,0
cell_1324,28.451802,76.992486,Gurugram,366,36,583,27,1656,7172,7,3.76,0
cell_1325,28.451802,76.997619,Gurugram,325,32,685,29,1266,6740,8,4.25,0
cell_1326,28.451802,77.002752,Saket,445,33,525,26,1531,17738,5,3.78,1
cell_1327,28.451802,77.007885,Saket,404,29,610,29,1352,16790,7,4.54,1
cell_1328,28.451802,77.013018,Saket,380,31,642,32,1526,17824,6,4.16,1
cell_1329,28.451802,77.018151,Saket,377,32,665,33,1302,17950,7,3.98,1
cell_1330,28.451802,77.023284,Saket,426,32,552,38,1737,18250,5,4.4,1
cell_1331,28.451802,77.028417,Saket,377,30,542,28,1516,18926,6,4.56,0
cell_1332,28.451802,77.03355,Saket,305,28,636,35,1622,20116,7,3.83,0
cell_1333,28.451802,77.038683,Saket,313,30,563,29,1316,17569,5,4.15,0
cell_1334,28.451802,77.043816,Saket,378,31,615,28,1324,17357,7,4.09,0
cell_1335,28.451802,77.048949,Saket,312,33,577,37,1366,18673,6,4.25,0
cell_1336,28.451802,77.054081,Saket,359,29,595,33,1756,18887,6,4.15,1
cell_1337,28.451802,77.059214,Saket,330,33,533,36,1420,17600,6,4.52,0
cell_1338,28.451802,77.064347,Saket,322,30,518,35,1400,18970,7,4.68,0
cell_1339,28.451802,77.06948,Saket,319,30,512,34,1848,19091,6,4.3,0
cell_1340,28.451802,77.074613,Saket,315,33,575,35,1747,16391,6,4.46,0
cell_1341,28.451802,77.079746,Saket,356,32,612,32,1671,17639,6,4.0,0
cell_1342,28.451802,77.084879,Saket,329,31,536,37,1647,19614,7,4.57,0
cell_1343,28.451802,77.090012,Saket,344,29,570,29,1642,18726,5,3.77,1
cell_1344,28.451802,77.095145,Saket,329,30,546,26,1636,18963,5,3.72,0
cell_1345,28.451802,77.100278,Saket,442,32,603,27,1549,18160,6,4.45,1
cell_1346,28.451802,77.105411,Saket,453,32,547,36,1658,18321,7,4.13,1
cell_1347,28.451802,77.110544,Saket,407,33,643,35,1817,19950,7,3.96,1
cell_1348,28.451802,77.115677,Saket,328,30,560,31,1805,16451,6,3.75,0
cell_1349,28.451802,77.12081,Saket,343,31,562,34,1736,15986,6,3.81,0
cell_1350,28.451802,77.125943,Saket,306,33,589,30,1296,18008,7,4.49,0
cell_1351,28.451802,77.131076,Saket,339,28,665,37,1559,16907,7,3.93,1
cell_1352,28.451802,77.136209,Saket,320,34,515,36,1753,20039,5,4.42,0
cell_1353,28.451802,77.141342,Saket,439,34,532,36,1816,19094,6,4.15,0
cell_1354,28.451802,77.146475,Saket,342,28,644,37,1357,19152,6,4.17,1
cell_1355,28.451802,77.151608,Faridabad,118,45,303,8,434,6938,2,2.31,0
cell_1356,28.451802,77.156741,Faridabad,111,45,249,9,403,7838,2,2.29,0
cell_1357,28.451802,77.161874,Faridabad,102,43,233,9,487,7969,2,2.28,0
cell_1358,28.451802,77.167007,Faridabad,126,41,234,8,437,8223,2,2.44,0
cell_1359,28.451802,77.17214,Faridabad,98,48,297,8,536,7040,2,2.01,0
cell_1360,28.451802,77.177272,Faridabad,131,44,307,9,518,8495,2,2.26,0
cell_1361,28.451802,77.182405,Faridabad,111,41,303,9,463,6716,2,2.19,0
cell_1362,28.451802,77.187538,Faridabad,116,46,239,7,519,6809,2,2.16,0
cell_1363,28.451802,77.192671,Faridabad,128,45,283,8,596,7625,2,2.41,0
cell_1364,28.451802,77.197804,Faridabad,96,42,246,7,599,8395,2,2.11,0
cell_1365,28.451802,77.202937,Faridabad,103,40,273,6,594,6723,2,2.15,0
cell_1366,28.451802,77.20807,Faridabad,99,44,252,7,468,8050,2,2.16,0
cell_1367,28.451802,77.213203,Faridabad,132,44,293,7,467,6973,2,2.21,0
cell_1368,28.451802,77.218336,Faridabad,96,48,289,9,538,7354,2,2.37,0
cell_1369,28.451802,77.223469,Faridabad,129,41,257,8,484,7023,2,2.39,0
cell_1370,28.451802,77.228602,Faridabad,114,46,278,7,597,8447,2,2.32,0
cell_1371,28.451802,77.233735,Faridabad,116,48,262,8,428,8418,2,2.27,0
cell_1372,28.451802,77.238868,Faridabad,127,47,306,6,437,8102,2,2.24,0
cell_1373,28.451802,77.244001,Faridabad,100,46,284,7,444,7976,2,1.94,0
cell_1374,28.451802,77.249134,Faridabad,117,43,277,8,461,7074,2,2.45,0
cell_1375,28.451802,77.254267,Faridabad,110,40,277,8,555,8065,2,2.02,0
cell_1376,28.451802,77.2594,Faridabad,108,45,249,6,472,8485,2,2.44,0
cell_1377,28.451802,77.264533,Faridabad,131,45,276,7,477,7077,2,2.12,0
cell_1378,28.451802,77.269666,Faridabad,112,43,258,6,442,7976,2,2.04,0
cell_1379,28.451802,77.274799,Faridabad,106,48,236,9,441,8206,2,2.2,0
cell_1380,28.451802,77.279932,Faridabad,131,40,296,7,529,6730,2,2.27,0
cell_1381,28.451802,77.285065,Faridabad,124,44,254,8,570,8066,2,2.19,0
cell_1382,28.451802,77.290198,Faridabad,111,43,277,7,500,7926,2,2.1,0
cell_1383,28.451802,77.295331,Faridabad,105,41,267,7,571,8029,2,2.17,0
cell_1384,28.451802,77.300463,Greater Noida,99,47,337,5,338,2839,2,2.14,0
cell_1385,28.451802,77.305596,Greater Noida,77,49,311,7,426,3584,2,1.82,0
cell_1386,28.451802,77.310729,Greater Noida,85,52,355,7,498,3435,2,2.15,0
cell_1387,28.451802,77.315862,Greater Noida,85,46,318,6,436,3087,2,2.12,0
cell_1388,28.451802,77.320995,Greater Noida,104,46,277,7,367,3525,2,1.81,0
cell_1389,28.451802,77.326128,Greater Noida,106,50,278,5,396,3030,2,1.93,0
cell_1390,28.451802,77.331261,Greater Noida,101,52,323,6,494,3130,2,2.16,0
cell_1391,28.451802,77.336394,Greater Noida,105,49,340,5,433,3087,2,2.07,0
cell_1392,28.451802,77.341527,Greater Noida,99,46,354,6,381,2906,2,1.85,0
cell_1393,28.451802,77.34666,Greater Noida,92,45,330,7,435,2888,2,2.05,0
cell_1394,28.451802,77.351793,Greater Noida,98,45,293,7,502,3261,2,2.15,0
cell_1395,28.451802,77.356926,Greater Noida,90,46,327,6,366,2925,2,1.79,0
cell_1396,28.451802,77.362059,Greater Noida,78,45,309,7,350,3006,2,1.91,0
cell_1397,28.451802,77.367192,Greater Noida,86,47,299,6,359,2923,2,2.11,0
cell_1398,28.451802,77.372325,Greater Noida,103,44,325,7,345,3138,2,2.23,0
cell_1399,28.451802,77.377458,Greater Noida,80,51,351,5,411,2915,2,2.11,0
cell_1400,28.451802,77.382591,Greater Noida,97,44,346,5,433,3172,2,1.78,0
cell_1401,28.451802,77.387724,Greater Noida,100,50,293,5,402,3198,2,2.18,0
cell_1402,28.451802,77.392857,Greater Noida,88,46,298,5,420,3383,2,1.96,0
cell_1403,28.451802,77.39799,Greater Noida,86,50,311,6,377,3565,2,1.76,0
cell_1404,28.456306,76.802566,Gurugram,378,34,616,23,1405,7625,7,3.79,0
cell_1405,28.456306,76.807699,Gurugram,300,38,693,26,1136,7519,8,3.99,0
cell_1406,28.456306,76.812832,Gurugram,317,37,578,33,1145,8021,7,3.53,0
cell_1407,28.456306,76.817965,Gurugram,347,36,532,27,1204,7467,7,3.6,0
cell_1408,28.456306,76.823098,Gurugram,324,38,573,26,1380,7699,8,3.86,0
cell_1409,28.456306,76.828231,Gurugram,397,38,639,25,1203,6414,6,3.86,0
cell_1410,28.456306,76.833364,Gurugram,348,35,561,27,1128,6826,7,3.81,0
cell_1411,28.456306,76.838497,Gurugram,358,36,616,27,1216,8060,8,4.35,0
cell_1412,28.456306,76.84363,Gurugram,311,39,576,30,1506,6919,8,3.92,0
cell_1413,28.456306,76.848763,Gurugram,353,37,594,32,1207,7831,8,4.15,0
cell_1414,28.456306,76.853896,Gurugram,294,35,675,28,1428,7593,6,4.24,0
cell_1415,28.456306,76.859029,Gurugram,322,35,579,31,1614,6724,7,4.28,0
cell_1416,28.456306,76.864162,Gurugram,356,33,702,33,1171,7109,7,3.81,0
cell_1417,28.456306,76.869295,Gurugram,294,39,593,25,1668,7190,6,3.5,0
cell_1418,28.456306,76.874428,Gurugram,387,38,700,23,1229,7022,7,4.3,0
cell_1419,28.456306,76.879561,Gurugram,371,40,629,28,1381,7397,8,4.23,0
cell_1420,28.456306,76.884694,Gurugram,338,34,608,25,1414,6389,7,3.72,0
cell_1421,28.456306,76.889827,Gurugram,342,39,571,28,1366,6717,6,4.06,0
cell_1422,28.456306,76.89496,Gurugram,368,37,649,23,1121,7107,7,4.23,0
cell_1423,28.456306,76.900093,Gurugram,273,34,696,27,1571,7945,7,3.97,0
cell_1424,28.456306,76.905226,Gurugram,331,34,557,24,1559,7883,6,3.53,0
cell_1425,28.456306,76.910359,Gurugram,383,34,540,29,1477,7760,6,4.2,0
cell_1426,28.456306,76.915492,Gurugram,376,35,530,23,1130,7717,6,3.62,0
cell_1427,28.456306,76.920625,Gurugram,304,33,558,30,1377,6609,7,4.24,0
cell_1428,28.456306,76.925757,Gurugram,309,36,710,25,1288,7459,8,3.58,0
cell_1429,28.456306,76.93089,Gurugram,330,34,588,32,1424,7781,6,4.0,0
cell_1430,28.456306,76.936023,Gurugram,329,38,643,32,1675,7703,7,4.33,0
cell_1431,28.456306,76.941156,Gurugram,306,35,641,26,1663,6681,8,4.0,0
cell_1432,28.456306,76.946289,Gurugram,299,35,600,33,1328,6438,6,3.94,0
cell_1433,28.456306,76.951422,Gurugram,327,38,659,33,1566,6889,8,3.61,0
cell_1434,28.456306,76.956555,Gurugram,340,36,590,31,1409,6756,6,3.95,0
cell_1435,28.456306,76.961688,Gurugram,330,33,697,27,1158,7730,8,4.16,0
cell_1436,28.456306,76.966821,Gurugram,333,38,642,30,1312,6968,6,3.78,0
cell_1437,28.456306,76.971954,Gurugram,373,37,666,26,1162,7007,7,3.47,0
cell_1438,28.456306,76.977087,Gurugram,397,37,551,30,1559,7435,6,3.52,0
cell_1439,28.456306,76.98222,Gurugram,286,39,677,33,1563,6868,6,3.65,0
cell_1440,28.456306,76.987353,Gurugram,351,36,585,23,1676,6766,8,3.83,0
cell_1441,28.456306,76.992486,Gurugram,371,33,713,30,1213,6369,7,4.31,1
cell_1442,28.456306,76.997619,Gurugram,391,34,649,26,1676,8030,7,4.2,0
cell_1443,28.456306,77.002752,Saket,385,34,641,27,1670,16344,5,4.02,1
cell_1444,28.456306,77.007885,Saket,362,28,520,26,1305,16595,6,3.76,0
cell_1445,28.456306,77.013018,Saket,413,32,599,32,1803,18526,7,4.33,1
cell_1446,28.456306,77.018151,Saket,410,31,568,34,1562,17075,6,3.74,1
cell_1447,28.456306,77.023284,Saket,410,29,581,32,1322,16668,5,4.32,1
cell_1448,28.456306,77.028417,Saket,345,33,661,36,1835,18923,5,4.25,1
cell_1449,28.456306,77.03355,Saket,435,31,626,33,1437,15849,6,3.93,1
cell_1450,28.456306,77.038683,Saket,326,32,612,35,1378,17864,6,3.93,0
cell_1451,28.456306,77.043816,Saket,447,31,667,34,1580,16196,6,4.24,1
cell_1452,28.456306,77.048949,Saket,446,34,653,34,1368,17498,5,4.64,1
cell_1453,28.456306,77.054081,Saket,392,29,597,28,1804,18619,5,3.75,1
cell_1454,28.456306,77.059214,Saket,330,28,629,35,1411,18973,5,4.49,1
cell_1455,28.456306,77.064347,Saket,368,31,615,38,1410,15861,5,4.56,1
cell_1456,28.456306,77.06948,Saket,339,34,572,30,1645,18232,5,4.22,0
cell_1457,28.456306,77.074613,Saket,324,30,592,34,1740,16444,5,4.52,0
cell_1458,28.456306,77.079746,Saket,428,29,666,32,1506,18306,6,3.88,1
cell_1459,28.456306,77.084879,Saket,391,28,519,38,1499,17737,6,4.7,1
cell_1460,28.456306,77.090012,Saket,305,32,503,28,1341,18183,6,3.76,0
cell_1461,28.456306,77.095145,Saket,422,33,646,38,1673,19209,5,4.08,1
cell_1462,28.456306,77.100278,Saket,318,32,546,34,1556,18057,6,3.89,0
cell_1463,28.456306,77.105411,Saket,316,33,566,32,1419,16855,6,3.83,0
cell_1464,28.456306,77.110544,Saket,422,28,567,30,1597,19884,7,4.46,1
cell_1465,28.456306,77.115677,Saket,310,34,653,32,1807,18146,6,4.22,0
cell_1466,28.456306,77.12081,Saket,403,31,606,27,1541,19524,7,4.29,1
cell_1467,28.456306,77.125943,Saket,423,32,556,38,1715,16375,6,3.99,1
cell_1468,28.456306,77.131076,Saket,404,32,541,33,1795,20028,5,4.41,1
cell_1469,28.456306,77.136209,Saket,436,28,638,36,1841,18249,6,4.1,1
cell_1470,28.456306,77.141342,Saket,418,34,605,30,1456,16905,7,4.22,0
cell_1471,28.456306,77.146475,Saket,314,34,556,31,1735,17271,7,4.64,0
cell_1472,28.456306,77.151608,Faridabad,122,48,309,9,579,6735,2,2.18,0
cell_1473,28.456306,77.156741,Faridabad,91,41,243,7,541,6837,2,1.95,0
cell_1474,28.456306,77.161874,Faridabad,126,45,297,7,496,6851,2,2.01,0
cell_1475,28.456306,77.167007,Faridabad,116,47,297,9,471,6962,2,2.28,0
cell_1476,28.456306,77.17214,Faridabad,91,42,269,8,587,7803,2,2.22,0
cell_1477,28.456306,77.177272,Faridabad,89,40,272,6,498,8041,2,2.43,0
cell_1478,28.456306,77.182405,Faridabad,123,46,252,9,447,7871,2,2.33,0
cell_1479,28.456306,77.187538,Faridabad,115,46,308,8,592,6900,2,2.11,0
cell_1480,28.456306,77.192671,Faridabad,117,47,293,6,518,7444,2,2.23,0
cell_1481,28.456306,77.197804,Faridabad,107,40,281,7,439,7244,2,2.25,0
cell_1482,28.456306,77.202937,Faridabad,122,46,242,9,572,7996,2,2.29,0
cell_1483,28.456306,77.20807,Faridabad,91,45,298,9,485,8402,2,2.25,0
cell_1484,28.456306,77.213203,Faridabad,117,43,298,8,485,7983,2,2.16,0
cell_1485,28.456306,77.218336,Faridabad,106,40,273,8,457,7247,2,2.43,0
cell_1486,28.456306,77.223469,Faridabad,131,43,309,7,476,8187,2,2.1,0
cell_1487,28.456306,77.228602,Faridabad,109,45,294,7,443,7059,2,1.95,0
cell_1488,28.456306,77.233735,Faridabad,127,44,298,8,523,8512,2,2.39,0
cell_1489,28.456306,77.238868,Faridabad,111,43,234,10,548,7973,2,1.97,0
cell_1490,28.456306,77.244001,Faridabad,130,45,232,8,406,7137,2,2.08,0
cell_1491,28.456306,77.249134,Faridabad,98,40,262,7,566,7014,2,2.46,0
cell_1492,28.456306,77.254267,Faridabad,107,46,237,8,471,7223,2,2.45,0
cell_1493,28.456306,77.2594,Faridabad,125,45,252,9,566,7568,2,2.44,0
cell_1494,28.456306,77.264533,Faridabad,109,46,282,6,539,8194,2,2.03,0
cell_1495,28.456306,77.269666,Faridabad,106,47,296,8,468,6745,2,2.04,0
cell_1496,28.456306,77.274799,Faridabad,94,43,255,8,570,7723,2,2.41,0
cell_1497,28.456306,77.279932,Faridabad,106,47,298,9,597,6779,2,2.25,0
cell_1498,28.456306,77.285065,Faridabad,103,40,283,7,580,7066,2,2.23,0
cell_1499,28.456306,77.290198,Faridabad,110,48,279,9,565,7073,2,2.43,0
cell_1500,28.456306,77.295331,Faridabad,123,46,272,7,529,7884,2,2.1,0
cell_1501,28.456306,77.300463,Greater Noida,91,48,285,5,399,2970,2,1.98,0
cell_1502,28.456306,77.305596,Greater Noida,95,48,289,5,477,3135,2,1.96,0
